economy,cluster,gdp_per_capita,knowledge_complexity,export_sophistication,product_density,gdp_growth,arm_relative
ABW,0,33373.9174591266,-0.2677968932711927,-0.9068814080186678,0.5820788431052661,6.81077669324542,0
AFE,1,1435.35627774336,-0.9581107203159749,-0.46075322704670296,0.08050548487624912,2.76383869054277,0
AFG,1,378.06630312259,-1.3969751606487115,-1.057565217391532,0.07712730377374619,2.26694373649188,0
AFW,1,1816.34604380299,-0.876365513480404,-0.560611352171435,0.12313204765483543,4.5856736208091,0
AGO,1,2845.47779302975,-0.9943137141431692,-0.9102995092689028,0.15236197624803557,4.42390664406875,0
ALB,0,6549.23387415397,0.0748065824697997,-0.821783495967825,0.376128834481103,4.04592845095348,0
AND,0,41034.5266723078,0.7467616495626662,-0.42048438431542945,0.7754583034289795,3.37182032638998,0
ARB,0,6282.0327428409,-0.2860022441871265,-0.20920770052953067,0.21957664819645428,1.70353102787844,1
ARE,2,41605.4168670844,0.5655033680169653,0.27785779789241943,0.8613380158613139,3.99180705485398,0
ARG,0,12774.3506596628,0.5337349236233774,0.19829811888031998,0.5603161000568694,-1.34293072157739,1
ARM,0,5378.31799981682,0.12293323687844085,-0.1223155197125939,0.41350085883961596,5.90000000046228,0
ASM,0,13709.0974895473,-0.2732121978249556,-0.017555835560132474,0.3052336286073803,1.73501577287065,1
ATG,0,18350.185036972,-0.3738480058403179,-1.2861957754952713,0.35322543037478193,3.65638765956977,0
AUS,2,61480.670710531,1.3967784326473573,1.7945636587135543,0.9758554075749151,1.37340773365975,0
AUT,2,45958.8250071261,2.0735291013151715,1.5531718749559347,0.8958235312681603,-0.659089573171372,0
AZE,0,5871.14373251952,0.2775518418163679,-0.3508349855229603,0.4662181741504203,4.07140205008956,0
BDI,1,268.700857391724,-1.600547512290383,-1.5110120807851222,0.10744976661042847,4.11227376264944,0
BEL,2,45045.6601021398,1.4758698282379425,1.337882156406098,0.9204839844211509,1.07045413019414,0
BEN,1,1324.78312597434,-0.6462072664225681,-0.14560656589084384,0.24311369279103698,7.45311566226201,0
BFA,1,763.833733522408,-1.385277159063511,-1.434895112806362,0.049265164870286704,4.79980951667159,0
BGD,1,1941.27874360025,-0.8258211300147058,-0.8086406473634659,0.12417559782601185,4.22325911250161,0
BGR,0,10126.8980075708,0.2850589765557849,0.25293940323504294,0.5656144075584675,3.38709063847314,0
BHR,0,25812.4504577306,-0.05514438877143558,-1.328926427359274,0.5972760641455631,2.60379670648454,0
BHS,0,33968.2032187918,-0.20344507565151007,-1.3019847671329745,0.6689841395645386,3.37866553336166,0
BIH,0,6730.26828824205,-0.23720099119106514,-0.3514396340459295,0.2972420646018752,2.9715174617652,0
BLR,0,6792.13183495565,0.2276610954729106,0.06968605824417037,0.5470965133832142,4.00984852465452,0
BLZ,0,6290.49294452749,-0.5201695826263255,-1.5994470216886651,0.25354620617760354,3.50466435023895,0
BMU,0,122117.603586776,-0.21314562846378626,0.6057598931805998,0.8593563512647207,5.97253260071749,0
BOL,0,3045.61476602385,-0.35219823869377326,-0.8942643263405028,0.20162999009138222,-1.12335595517212,1
BRA,0,9566.74408628371,0.3978591309178483,1.033308041336999,0.49886579984251017,3.41931516597739,0
BRB,0,21581.2171257633,0.1593108945281082,0.2992766471591395,0.724135340969527,2.4822621396186,0
BRN,0,29563.8682753082,-0.28765484095499577,-1.2637005834131951,0.6281306791453187,4.05251709306727,0
BTN,1,3480.51388574877,-0.6642781329757412,-1.6681795865743467,0.2559881289800038,4.63215704523927,0
BWA,1,6937.33180990267,-0.8089741827955459,-1.3218009324399524,0.28616135872052617,-2.98986879467928,1
CAF,1,389.938307964229,-1.3575416582179822,-0.65224137802234,0.08495240868313732,1.49999999847535,0
CAN,2,44413.3983847404,0.8695988730968645,1.6886684635998004,0.9502820605438443,1.55479521049516,0
CEB,0,16856.766201271,0.4696712573762394,0.3408138832975769,0.7601075027385054,2.0701601704917,0
CHE,2,90067.4645431168,2.1611280938656794,1.8074152721976264,0.9894671202978509,1.30233332541106,0
CHI,0,69818.1528119104,-0.2160494420231863,0.3186521439547322,0.8658156417971297,3.71500590367266,0
CHL,0,14579.4001071307,0.6410952698803677,0.3876245965730328,0.5708197314620107,2.64431154871538,0
