economy,year,fdi_inflows,rd_spending,patent_apps,internet_users,gdp_growth,gdp_per_capita,tertiary_enrollment,gini,services_emp,unemployment,high_tech_exp,arm_trapped,income_level,ai_readiness
ABW,2000,-6.82872717296655,,,15.4428229480349,7.62292064930222,28104.8954362859,28.3303394317627,,,,,,high,14.803996331958125
ABW,2001,-14.0750555726085,,,17.1,4.1820016304779,29007.7386958774,28.8601303100586,,,,,,high,15.765032577514651
ABW,2002,16.9490560127573,,1.0,18.8,-0.944953481157384,28535.4639480222,28.5816898345947,,,,,,high,16.545422458648677
ABW,2003,7.81642871198372,,,20.8,1.11050459944282,28525.8077063839,30.3779106140137,,,,,,high,17.994477653503424
ABW,2004,-4.68763897846137,,,23.0,7.29372807096192,29959.7748189582,30.352689743042,,,,,,high,19.088172435760498
ABW,2005,-8.8049356352136,,,25.4,-0.383137672063768,29081.7066997897,36.204231262207,,,,,,high,21.75105781555175
ABW,2006,8.92046662114826,,,28.0,1.12741146411624,28885.9118700469,34.2268714904785,,,,,,high,22.556717872619625
ABW,2007,-17.5903165005138,,,30.9,3.0895443848509,29556.8384686554,34.8968086242676,,,,,,high,24.174202156066897
ABW,2008,0.664175810874169,,,52.0,1.83575517191368,29870.6648077005,35.0970611572266,,,,,,high,34.77426528930665
ABW,2009,-0.41563759901472,,,58.0,-11.6777413693852,26204.0597361984,34.4308586120605,,,,4.01259892391419,,high,25.473069661068166
ABW,2010,7.61167220218675,,,62.0,-2.73345679250639,25429.2180974853,36.0625305175781,,,,4.13079661839726,,high,27.090168081436076
ABW,2011,18.5057800383246,,,69.0,3.36923718421511,26093.0542083227,37.8648109436035,,,,4.79098828956432,,high,29.789900652890353
ABW,2012,-12.0331802180755,,,74.0,-1.04079988436683,25444.7336646687,38.8641815185547,,,,11.2591842958297,,high,32.26994868267542
ABW,2013,9.97445713517423,,,78.9,6.43146080719245,26680.1411206342,17.1258697509766,,,,5.14004404663994,,high,29.66831602982676
ABW,2014,7.46525460335849,,,83.78,1.42609864257801,26773.8226808518,17.7518997192383,,,,7.32285526890136,,high,31.61760214676319
ABW,2015,-0.907264375161604,,,88.661226932496,3.61147995361162,27458.2201537506,16.7312393188477,,,,4.96898579074605,,high,32.83918077638122
ABW,2016,0.923397287531133,,,93.542453865048,1.23433537363427,27587.2498040483,17.1416206359863,,,,4.04238531863215,,high,34.4419932595436
ABW,2017,5.2533752062728,,,97.17,3.49342985290626,28548.8904317739,,,,,6.6179822555614,,high,49.57769733833421
ABW,2018,4.39981717177271,,,,3.21247111920076,29419.208623316,,,,,8.51650729790994,,high,2.554952189372982
ABW,2019,-2.2478342012416,,,,1.22511225158814,29699.1805366222,,,,,4.95360767044503,,high,1.486082301133509
ABW,2020,6.51718576425329,,,,-23.8979898352395,22729.8897593533,,,,,6.7561753872818,,high,2.02685261618454
ABW,2021,4.63553026601194,,,,14.7306159219273,26292.9179363154,,,,,4.81705330254684,,high,1.4451159907640518
ABW,2022,7.4653342753216,,,,10.6364309604414,29195.2670227422,,,,,7.12514654462656,,high,2.137543963387968
ABW,2023,-3.58459079731401,,,,7.70679839650956,31430.9353682253,,,,,6.86800836378335,,high,2.0604025091350047
ABW,2024,2.42051208397071,,,,6.81077669324542,33373.9174591266,14.0655418559377,,,,,,high,7.03277092796885
AFE,2000,1.53405599658526,,,,3.18137506041111,1205.98105360593,3.99448990821838,,28.0808808878066,7.66876829683374,,0.0,middle,1.99724495410919
AFE,2001,4.77476973739498,,,,3.50353308518427,1216.33535706379,4.2595100402832,,27.9343451391243,7.55388452430262,,0.0,middle,2.1297550201416
AFE,2002,2.45311397862458,,,,3.91711337379634,1231.4445675519,4.5005898475647,,27.6883224524139,7.51149338877195,,0.0,middle,2.25029492378235
AFE,2003,2.44332327879905,0.594539921118996,,,3.00937249317595,1235.71164842373,4.8099799156189,,27.686228472117,7.4720424200925,,0.0,middle,5.661544387297195
AFE,2004,1.82591614109867,0.626100578625712,,,5.63469800866547,1271.31275711155,5.12434005737305,,27.8124407883343,7.27852246959678,,0.0,middle,5.976839354036103
AFE,2005,2.02191300437059,0.626592924758238,,1.8,6.17365914390395,1314.3879382145,5.39512014389038,,27.9728340220678,7.10041371887931,,0.0,middle,4.632151314439587
AFE,2006,1.25663111373599,,,1.9,6.63749738735714,1364.70525366925,5.67903995513916,,28.2971521723929,7.03560059961336,,0.0,middle,2.36975998878479
AFE,2007,2.43740589998239,0.659864661576848,,2.7,6.70003329209791,1417.47243247841,5.82964992523193,,28.6043096345486,6.98058891496815,,0.0,middle,5.170931628756229
AFE,2008,3.1569406143365,,,3.0,4.43752919445292,1440.59728407645,6.22163009643555,,28.859947033116,6.95926232871186,,0.0,middle,3.0554075241088876
AFE,2009,2.58633169148882,,,3.5,0.919472850509038,1414.58775130051,6.78540992736816,,29.0800077037936,7.02933493362019,,0.0,middle,3.44635248184204
AFE,2010,1.64090292830012,0.586779084367876,,5.3,5.30790438645938,1449.48915951845,7.34631013870239,,29.8023909576755,7.33948885318777,,0.0,middle,5.924947111623112
AFE,2011,1.85611503894181,,,6.8,4.07747696614018,1468.63057193646,7.71177005767822,,30.1521447448849,7.303350943492,,0.0,middle,5.327942514419555
AFE,2012,2.54452875718434,,,8.4,1.89717291956102,1456.72281306529,7.9946699142456,,30.6136936599094,7.10873740350119,,0.0,middle,6.198667478561401
